0.000483	0.330000	0.053333	-1	0.179012	0.630006	0.694130	0.186698	0.260870	0.066794	0.617021	1.000000	0.160044	2.820000
0.000215	0.550000	0.112593	-1	0.203704	0.600690	0.550978	0.418527	0.173913	0.349237	0.531915	1.000000	0.150386	2.390000
0.002506	0.000000	0.228519	-1	0.129630	0.473079	0.850669	0.414644	0.086957	0.087786	0.563830	0.989510	0.471026	1.660000
0.000580	0.125000	0.197407	-1	0.049383	0.443955	0.190525	0.488174	0.130435	0.301527	0.670213	0.998260	0.175773	2.200000
0.041271	0.000000	0.642963	-1	0.792181	0.345085	0.960865	0.088570	1.000000	0.914122	0.808511	0.959378	0.233444	2.080000
0.006561	0.000000	0.783333	-1	0.491770	0.538609	0.978373	0.108922	0.130435	0.477099	0.914894	0.971910	0.259106	2.300000
0.000335	0.800000	0.155926	-1	0.053498	0.588044	0.211123	0.362566	0.130435	0.110687	0.702128	1.000000	0.081954	2.790000
0.015156	0.000000	0.274074	-1	0.314815	0.481127	1.000000	0.276933	0.130435	0.229008	0.893617	0.949140	0.312086	1.450000
0.001173	0.000000	0.487037	1	0.339506	0.457942	0.936148	0.160018	0.173913	0.169847	0.404255	1.000000	0.446744	2.150000
0.000455	0.000000	0.098889	-1	0.213992	0.547231	0.650875	0.178478	0.043478	0.158397	0.553191	0.988098	0.195364	2.260000
0.064088	0.000000	0.642963	-1	0.302469	0.611037	0.741504	0.200247	1.000000	0.914122	0.808511	0.990342	0.165839	2.370000
0.000272	0.550000	0.112593	-1	0.203704	0.634796	0.259526	0.485209	0.173913	0.349237	0.531915	0.977482	0.079470	3.120000
0.001556	0.000000	0.343333	-1	0.333333	0.415788	0.641607	0.148187	0.217391	0.467557	0.553191	0.986384	0.327815	1.930000
0.000421	0.800000	0.097407	-1	0.026749	0.426518	0.290422	0.498495	0.130435	0.286260	0.372340	1.000000	0.234823	1.940000
0.002870	0.000000	0.339259	-1	0.327160	0.471738	0.901133	0.154989	0.130435	0.223282	0.617021	0.998487	0.275662	1.940000
0.134256	0.000000	0.642963	-1	0.563786	0.392221	1.000000	0.014149	1.000000	0.914122	0.808511	0.836578	0.286976	2.790000
0.171762	0.000000	0.642963	-1	0.588477	0.591684	0.930999	0.019578	1.000000	0.914122	0.808511	0.914570	0.593543	1.390000
0.005852	0.000000	0.202222	-1	0.244856	0.989462	0.824923	0.160482	0.304348	0.229008	0.510638	0.962429	0.080022	5.000000
0.000316	0.825000	0.047778	-1	0.061728	0.498371	0.365602	0.467441	0.043478	0.307252	0.223404	0.992108	0.157285	2.410000
0.026552	0.000000	0.697778	-1	1.000000	0.261544	0.955716	0.030118	0.173913	0.412214	0.223404	0.986913	0.767108	1.460000
0.002779	0.000000	0.339259	-1	0.327160	0.410807	0.770340	0.256018	0.130435	0.223282	0.617021	0.998790	0.269592	1.620000
0.024151	0.000000	0.697778	-1	1.000000	0.396053	1.000000	0.035192	0.173913	0.412214	0.223404	0.426017	0.411700	1.560000
0.004079	0.000000	0.339259	-1	0.327160	0.575972	0.869207	0.224854	0.130435	0.223282	0.617021	0.996949	0.208333	2.380000
0.003763	0.000000	0.245926	-1	0.222222	0.546848	0.383110	0.326592	0.173913	0.190840	0.744681	1.000000	0.121137	2.500000
0.000332	0.800000	0.097407	-1	0.026749	0.522897	0.153450	0.498495	0.130435	0.286260	0.372340	1.000000	0.081126	2.350000
0.178195	0.000000	0.642963	-1	0.604938	0.447404	0.952626	0.070929	1.000000	0.914122	0.808511	0.018559	0.625276	0.830000
